id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
7535241,8/12/2017 18:51,8/12/2017,2017-08-12 23:51:50 UTC,Central Time (US & Canada),,14334,mayfly1963,2017-08-17 21:58:21 UTC,2017-08-23 02:10:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7535241,https://static.inaturalist.org/photos/9829314/medium.jpg?1503007033,,Monarch (Danaus plexippus),"Blurry, but for documentation purposes I guess it works. I saw several monarchs today, maybe as many as six, although I wouldn't swear they were all different individuals.  Funniest sight was a monarch chasing a dragonfly...one of the big darners.  I didn't realize either of them would behave the way they did.",FALSE,2,0,FALSE,,"Hagarville, Arkansas, United States",35.512858,-93.323342,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7535242,8/12/2017 17:49,8/12/2017,2017-08-12 22:49:12 UTC,Central Time (US & Canada),,14334,mayfly1963,2017-08-17 21:58:24 UTC,2017-08-23 02:09:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7535242,https://static.inaturalist.org/photos/9829315/medium.jpg?1503007037,,Monarch (Danaus plexippus),Packing its bags for Mexico.  Here's hoping it has a safe trip there and back.,FALSE,2,0,FALSE,,"Hagarville, Arkansas, United States",35.508753,-93.321368,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7544148,8/14/2017,8/14/2017,,Hawaii,,572485,alliefowler,2017-08-18 17:24:07 UTC,2017-08-18 17:31:44 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7544148,,,,,FALSE,0,0,FALSE,,"Faulkner County, US-AR, US",35.080691,-92.193661,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7604645,8/21/2017,8/21/2017,,Central Time (US & Canada),,598549,sscheiman,2017-08-22 15:50:05 UTC,2017-09-22 23:36:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7604645,https://static.inaturalist.org/photos/9937675/medium.jpeg?1503417004,,,,FALSE,4,0,FALSE,,"Pulaski County, US-AR, US",34.7532206,-92.3236454,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7631385,8/23/2017,8/23/2017,,Central Time (US & Canada),,572485,alliefowler,2017-08-24 15:27:40 UTC,2017-08-24 15:31:51 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7631385,,,,,FALSE,0,0,FALSE,,Fowler house,35.030646,-92.232398,435,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7644540,8/21/2017,8/21/2017,,Eastern Time (US & Canada),,114472,imnjupiter,2017-08-25 14:50:19 UTC,2017-10-09 05:23:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7644540,https://static.inaturalist.org/photos/10001136/medium.jpeg?1503672618,,,,FALSE,1,0,FALSE,,"Searcy, AR",35.256466,-91.77397,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7646154,2017/08/24 11:57 AM CDT,8/24/2017,2017-08-24 16:57:00 UTC,Central Time (US & Canada),,399516,arbutterflynut,2017-08-25 16:49:01 UTC,2017-08-27 01:19:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7646154,https://static.inaturalist.org/photos/10003708/medium.jpg?1503679672,,,"Migrating southward, stopped for fuel",FALSE,1,0,FALSE,,"Elizabeth Ct, Barling, AR 72923, USA",35.3349543,-94.2971119,193,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7656535,2016/10/30 2:19 PM CDT,10/30/2016,2016-10-30 19:19:00 UTC,Central Time (US & Canada),,604192,deborahsallings,2017-08-26 12:58:33 UTC,2017-08-27 01:35:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7656535,https://static.inaturalist.org/photos/10020936/medium.jpeg?1503752252,,,,FALSE,2,0,FALSE,,"Sample Rd, Roland, AR 72135, USA",34.897102,-92.659634,193,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7667398,8/26/2017,8/26/2017,,Central Time (US & Canada),,604764,ksanders,2017-08-27 01:44:39 UTC,2017-10-09 05:23:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7667398,https://static.inaturalist.org/photos/10039012/medium.jpeg?1503798274,,,Two caterpillars - one on A. Syriaca seedling and one on A. incarnata,FALSE,3,0,FALSE,,1339 N. Canterbury Rd Fayetteville AR,36.078056,-94.116509,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7667401,8/26/2017,8/26/2017,,Central Time (US & Canada),,604764,ksanders,2017-08-27 01:45:33 UTC,2017-09-15 13:19:22 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7667401,,,,Monarch eggs,FALSE,1,0,FALSE,,1339 N. Canterbury Rd Fayetteville AR,36.078056,-94.116509,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7674530,2017/08/18 12:35 PM CDT,8/18/2017,2017-08-18 17:35:00 UTC,Central Time (US & Canada),,399516,arbutterflynut,2017-08-27 17:04:31 UTC,2017-09-02 01:13:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7674530,https://static.inaturalist.org/photos/10050687/medium.jpg?1503853429,,,,FALSE,4,0,FALSE,,"Natural Dam, AR 72948, USA",35.6486962,-94.3946578,1762,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7680350,Sun Aug 27 2017 15:26:39 GMT-0500 (CDT),8/27/2017,2017-08-27 20:26:39 UTC,Central Time (US & Canada),,604764,ksanders,2017-08-27 23:25:14 UTC,2017-09-15 13:19:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7680350,https://static.inaturalist.org/photos/10060401/medium.jpg?1503876316,,,,FALSE,4,0,FALSE,3,"72701, Fayetteville, AR, US",36.04176303,-94.1246958,40211,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7680419,Sun Aug 27 2017 15:26:14 GMT-0500 (CDT),8/27/2017,2017-08-27 20:26:14 UTC,Central Time (US & Canada),,604764,ksanders,2017-08-27 23:31:03 UTC,2017-10-02 14:32:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7680419,https://static.inaturalist.org/photos/10060550/medium.jpg?1503876682,,,,FALSE,2,0,FALSE,3,"Arkansas, US",36.07872104,-94.1813053,501,obscured,TRUE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
