id,observed_on_string,observed_on,quality_grade,license,latitude,longitude,positional_accuracy,scientific_name,common_name
7689977,8/27/2017,8/27/2017,casual,CC-BY-NC,36.031332,-93.433228,56383,Danaus plexippus,Monarch
7689979,8/27/2017,8/27/2017,casual,CC-BY-NC,36.031332,-93.433228,56383,Danaus plexippus,Monarch
7690001,8/27/2017,8/27/2017,casual,CC-BY-NC,36.200512,-94.219437,3432,Danaus plexippus,Monarch
7690129,8/19/2017,8/19/2017,casual,CC-BY-NC,34.480681,-93.220539,219,Danaus plexippus,Monarch
7690169,8/26/2017,8/26/2017,casual,CC-BY-NC,34.480681,-93.220539,219,Danaus plexippus,Monarch
7692433,8/20/2017,8/20/2017,research,CC-BY-NC,34.887057,-92.095642,1743,Danaus plexippus,Monarch
7692521,8/27/2017,8/27/2017,research,CC-BY-NC,34.860017,-92.095642,6982,Danaus plexippus,Monarch
7701381,8/27/2017,8/27/2017,casual,CC-BY-NC-SA,36.072867,-94.160731,13,Danaus plexippus,Monarch
7701436,8/28/2017,8/28/2017,casual,CC-BY-NC-SA,36.06203,-94.169328,26,Danaus plexippus,Monarch
7762194,9/2/2017 15:24,9/2/2017,research,CC-BY-NC,35.509539,-93.322613,,Danaus plexippus,Monarch
7762195,9/2/2017 15:20,9/2/2017,research,CC-BY-NC,35.509347,-93.322527,,Danaus plexippus,Monarch
7776974,Sun Sep 03 2017 15:40:36 GMT-0500 (CDT),9/3/2017,research,CC-BY-NC,36.20422,-94.22724167,,Danaus plexippus,Monarch
7779922,2017/09/04 6:39 AM UTC,9/4/2017,research,,34.807962,-92.215618,183,Danaus plexippus,Monarch
7795310,8/24/2017,8/24/2017,casual,CC-BY-NC,33.985262,-91.328616,220,Danaus plexippus,Monarch
7802963,9/2/2017,9/2/2017,research,CC-BY-NC,36.417829,-92.939186,855,Danaus plexippus,Monarch
7806620,9/5/2017,9/5/2017,casual,CC-BY-NC,36.185966,-94.44397,4068,Danaus plexippus,Monarch
7818988,8/3/2017,8/3/2017,research,CC-BY-NC,34.551939,-92.339873,27,Danaus plexippus,Monarch
7834393,7/29/2017,7/29/2017,research,CC-BY-NC,34.81033706,-92.29035947,,Danaus plexippus,Monarch
7835436,9/13/2017,9/13/2017,research,CC-BY-NC,34.73910513,-92.4076125,26,Danaus plexippus,Monarch
7843862,9/9/2017,9/9/2017,casual,CC-BY-NC,34.846839,-92.5495122,,Danaus plexippus,Monarch
7846706,2017/09/07 10:54 AM CDT,9/7/2017,research,CC-BY-NC,35.3854673,-93.190979,7813,Danaus plexippus,Monarch
7846707,2017/09/07 11:07 AM CDT,9/7/2017,research,CC-BY-NC,35.3397743,-93.24783325,1953,Danaus plexippus,Monarch
7846708,2017/09/07 10:56 AM CDT,9/7/2017,research,CC-BY-NC,35.34873575,-93.25332642,1953,Danaus plexippus,Monarch
