"dataset_id","row_id","latitude","longitude","sp_code","scientific","common","tsn","count","series_id","obs_date","date_time","last_mod","provider","owner","oceano","depth","ds_type"
705,"705_3270",-58.38,-37.16,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2007-11-23","2007-11-23 14:15:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":0.8800,""SSH_D"":-120.53,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":-0.675,""BATH"":-2916,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2929",-66.89,-26.14,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_408","2008-02-01","2008-02-01 01:58:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":-9999,""SSH_D"":-139.41,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":-0.375,""BATH"":-4802,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2926",-64.65,-14.98,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_408","2008-01-15","2008-01-15 01:09:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":0.0000,""CHL_Y"":-9999,""SSH_D"":-143.32,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":-0.750,""BATH"":-5066,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2919",-63.48,-22.12,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_408","2008-01-08","2008-01-08 13:35:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":0.0000,""CHL_Y"":-9999,""SSH_D"":-140.92,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":0.300,""BATH"":-5020,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2914",-62.73,-14.82,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_408","2008-01-04","2008-01-04 13:04:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":0.0000,""CHL_Y"":-9999,""SSH_D"":-141.07,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":-0.675,""BATH"":-4865,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_3246",-39.93,-39.25,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2007-11-11","2007-11-11 14:21:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":0.5800,""CHL_M"":0.4000,""CHL_Y"":0.2700,""SSH_D"":21.86,""SST_D"":12.900,""SST_M"":12.900,""SST_Y"":16.125,""BATH"":-5155,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2292",46.14,-29.42,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_406","2007-08-25","2007-08-25 02:00:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":0.2000,""CHL_M"":0.2500,""CHL_Y"":0.2800,""SSH_D"":18.02,""SST_D"":19.575,""SST_M"":19.800,""SST_Y"":16.350,""BATH"":-3176,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2959",-66.99,-41.72,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_408","2008-02-16","2008-02-16 03:01:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":-9999,""SSH_D"":-135.99,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":-0.825,""BATH"":-4411,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2943",-66.8,-32.21,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_408","2008-02-08","2008-02-08 02:23:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":-9999,""SSH_D"":-138.35,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":-1.200,""BATH"":-4675,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2941",-68.6,-33.23,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_408","2008-02-07","2008-02-07 02:27:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":-9999,""SSH_D"":-136.62,""SST_D"":-1.125,""SST_M"":-1.125,""SST_Y"":-9999,""BATH"":-4504,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
