"geom","oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","csquare","geom_wkt"
0103000020E61000000100000005000000000000000000284000000000000034C00000000000002A4000000000000034C00000000000002A4000000000000035C0000000000000284000000000000035C0000000000000284000000000000034C0,54541,13,-21,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-19","2007-10-26",3,2,1,"3201:102","POLYGON((12 -20,13 -20,13 -21,12 -21,12 -20))"
0103000020E61000000100000005000000000000000000284000000000000031C00000000000002A4000000000000031C00000000000002A4000000000000032C0000000000000284000000000000032C0000000000000284000000000000031C0,53319,13,-17,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-21","2007-10-22",2,2,1,"3101:372","POLYGON((12 -17,13 -17,13 -18,12 -18,12 -17))"
0103000020E6100000010000000500000000000000000028400000000000002EC00000000000002A400000000000002EC00000000000002A4000000000000030C0000000000000284000000000000030C000000000000028400000000000002EC0,53303,13,-15,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-15","2007-10-17",3,2,1,"3101:352","POLYGON((12 -15,13 -15,13 -16,12 -16,12 -15))"
0103000020E6100000010000000500000000000000000028400000000000002CC00000000000002A400000000000002CC00000000000002A400000000000002EC000000000000028400000000000002EC000000000000028400000000000002CC0,53296,13,-14,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-12","2007-10-15",3,2,1,"3101:142","POLYGON((12 -14,13 -14,13 -15,12 -15,12 -14))"
0103000020E6100000010000000500000000000000000028400000000000002AC00000000000002A400000000000002AC00000000000002A400000000000002CC000000000000028400000000000002CC000000000000028400000000000002AC0,53288,13,-14,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-12","2007-10-15",2,1,1,"3101:132","POLYGON((12 -13,13 -13,13 -14,12 -14,12 -13))"
0103000020E61000000100000005000000000000000000284000000000000026C00000000000002A4000000000000026C00000000000002A4000000000000028C0000000000000284000000000000028C0000000000000284000000000000026C0,53283,13,-11,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-14","2007-10-14",1,1,1,"3101:112","POLYGON((12 -11,13 -11,13 -12,12 -12,12 -11))"
0103000020E61000000100000005000000000000000000284000000000000024C00000000000002A4000000000000024C00000000000002A4000000000000026C0000000000000284000000000000026C0000000000000284000000000000024C0,53278,13,-10,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-13","2007-10-18",3,2,1,"3101:102","POLYGON((12 -10,13 -10,13 -11,12 -11,12 -10))"
0103000020E61000000100000005000000000000000000284000000000000022C00000000000002A4000000000000022C00000000000002A4000000000000024C0000000000000284000000000000024C0000000000000284000000000000022C0,51672,13,-10,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-07","2007-10-07",1,1,1,"3001:392","POLYGON((12 -9,13 -9,13 -10,12 -10,12 -9))"
0103000020E6100000010000000500000000000000000028400000000000C05040000000000000284000000000000051400000000000002A4000000000000051400000000000002A400000000000C0504000000000000028400000000000C05040,8393284,13,67,"European Seabirds at Sea","Sterna paradisaea","427","1980-07-15","1980-07-15",1,9,1,"1601:372","POLYGON((12 67,12 68,13 68,13 67,12 67))"
0103000020E610000001000000050000000000000000002A4000000000000046C00000000000002C4000000000000046C00000000000002C4000000000008046C00000000000002A4000000000008046C00000000000002A4000000000000046C0,77594,14,-45,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-11-28","2007-11-28",1,1,1,"3401:143","POLYGON((13 -44,14 -44,14 -45,13 -45,13 -44))"
0103000020E610000001000000050000000000000000002A4000000000008044C00000000000002C4000000000008044C00000000000002C4000000000000045C00000000000002A4000000000000045C00000000000002A4000000000008044C0,77581,13,-41,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2008-04-17","2008-04-17",1,1,1,"3401:113","POLYGON((13 -41,14 -41,14 -42,13 -42,13 -41))"
0103000020E610000001000000050000000000000000002A4000000000000043C00000000000002C4000000000000043C00000000000002C4000000000008043C00000000000002A4000000000008043C00000000000002A4000000000000043C0,69936,14,-38,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-11-11","2007-11-11",2,1,1,"3301:383","POLYGON((13 -38,14 -38,14 -39,13 -39,13 -38))"
0103000020E610000001000000050000000000000000002A4000000000008042C00000000000002C4000000000008042C00000000000002C4000000000000043C00000000000002A4000000000000043C00000000000002A4000000000008042C0,69920,13,-38,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-11-10","2007-11-10",1,1,1,"3301:373","POLYGON((13 -37,14 -37,14 -38,13 -38,13 -37))"
0103000020E610000001000000050000000000000000002A4000000000000042C00000000000002C4000000000000042C00000000000002C4000000000008042C00000000000002A4000000000008042C00000000000002A4000000000000042C0,69892,14,-36,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-11-05","2008-04-22",3,3,1,"3301:363","POLYGON((13 -36,14 -36,14 -37,13 -37,13 -36))"
0103000020E610000001000000050000000000000000002A4000000000008041C00000000000002C4000000000008041C00000000000002C4000000000000042C00000000000002A4000000000000042C00000000000002A4000000000008041C0,69866,13,-36,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-11-06","2007-11-06",1,1,1,"3301:353","POLYGON((13 -35,14 -35,14 -36,13 -36,13 -35))"
0103000020E610000001000000050000000000000000002A400000000000003FC00000000000002C400000000000003FC00000000000002C4000000000000040C00000000000002A4000000000000040C00000000000002A400000000000003FC0,61507,13,-32,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-11-06","2007-11-06",1,1,1,"3301:113","POLYGON((13 -31,14 -31,14 -32,13 -32,13 -31))"
